id,time_stamp,traffic_light_id,number_of_cars
1,09:05:00,1,56
2,09:05:00,2,25
3,09:05:00,3,56
4,09:05:00,4,92
5,09:05:00,5,33
6,09:10:00,1,88
7,09:10:00,2,13
8,09:10:00,3,19
9,09:10:00,4,23
10,09:10:00,5,54
11,09:15:00,1,88
12,09:15:00,2,42
13,09:15:00,3,23
14,09:15:00,4,10
15,09:15:00,5,53
16,09:20:00,1,37
17,09:20:00,2,32
18,09:20:00,3,15
19,09:20:00,4,38
20,09:20:00,5,15
21,09:25:00,1,38
22,09:25:00,2,77
23,09:25:00,3,51
24,09:25:00,4,86
25,09:25:00,5,70
26,09:30:00,1,11
27,09:30:00,2,68
28,09:30:00,3,42
29,09:30:00,4,93
30,09:30:00,5,39
31,09:35:00,1,57
32,09:35:00,2,25
33,09:35:00,3,85
34,09:35:00,4,16
35,09:35:00,5,74
36,09:40:00,1,45
37,09:40:00,2,77
38,09:40:00,3,32
39,09:40:00,4,69
40,09:40:00,5,93
41,09:45:00,1,99
42,09:45:00,2,29
43,09:45:00,3,82
44,09:45:00,4,48
45,09:45:00,5,11
46,09:50:00,1,26
47,09:50:00,2,64
48,09:50:00,3,90
49,09:50:00,4,38
50,09:50:00,5,71
51,09:55:00,1,57
52,09:55:00,2,37
53,09:55:00,3,83
54,09:55:00,4,61
55,09:55:00,5,45
56,10:00:00,1,13
57,10:00:00,2,59
58,10:00:00,3,74
59,10:00:00,4,88
60,10:00:00,5,17
61,10:05:00,1,26
62,10:05:00,2,99
63,10:05:00,3,88
64,10:05:00,4,77
65,10:05:00,5,88
66,10:10:00,1,42
67,10:10:00,2,34
68,10:10:00,3,21
69,10:10:00,4,55
70,10:10:00,5,69
71,10:15:00,1,77
72,10:15:00,2,83
73,10:15:00,3,30
74,10:15:00,4,65
75,10:15:00,5,32
76,10:20:00,1,38
77,10:20:00,2,39
78,10:20:00,3,33
79,10:20:00,4,73
80,10:20:00,5,52
81,10:25:00,1,44
82,10:25:00,2,36
83,10:25:00,3,75
84,10:25:00,4,46
85,10:25:00,5,92
86,10:30:00,1,72
87,10:30:00,2,20
88,10:30:00,3,75
89,10:30:00,4,51
90,10:30:00,5,34
91,10:35:00,1,87
92,10:35:00,2,80
93,10:35:00,3,56
94,10:35:00,4,22
95,10:35:00,5,67
96,10:40:00,1,79
97,10:40:00,2,23
98,10:40:00,3,91
99,10:40:00,4,61
100,10:40:00,5,50
101,10:45:00,1,62
102,10:45:00,2,43
103,10:45:00,3,54
104,10:45:00,4,27
105,10:45:00,5,35
106,10:50:00,1,21
107,10:50:00,2,54
108,10:50:00,3,47
109,10:50:00,4,32
110,10:50:00,5,43
111,10:55:00,1,65
112,10:55:00,2,99
113,10:55:00,3,43
114,10:55:00,4,51
115,10:55:00,5,34
116,11:00:00,1,22
117,11:00:00,2,88
118,11:00:00,3,67
119,11:00:00,4,41
120,11:00:00,5,69
121,11:05:00,1,34
122,11:05:00,2,57
123,11:05:00,3,25
124,11:05:00,4,25
125,11:05:00,5,85
126,11:10:00,1,86
127,11:10:00,2,66
128,11:10:00,3,24
129,11:10:00,4,63
130,11:10:00,5,76
131,11:15:00,1,25
132,11:15:00,2,97
133,11:15:00,3,64
134,11:15:00,4,69
135,11:15:00,5,95
136,11:20:00,1,99
137,11:20:00,2,22
138,11:20:00,3,45
139,11:20:00,4,89
140,11:20:00,5,72
141,11:25:00,1,32
142,11:25:00,2,93
143,11:25:00,3,53
144,11:25:00,4,49
145,11:25:00,5,44
146,11:30:00,1,86
147,11:30:00,2,44
148,11:30:00,3,72
149,11:30:00,4,89
150,11:30:00,5,67
151,11:35:00,1,54
152,11:35:00,2,20
153,11:35:00,3,72
154,11:35:00,4,68
155,11:35:00,5,82
156,11:40:00,1,66
157,11:40:00,2,83
158,11:40:00,3,49
159,11:40:00,4,77
160,11:40:00,5,33
161,11:45:00,1,13
162,11:45:00,2,40
163,11:45:00,3,88
164,11:45:00,4,42
165,11:45:00,5,61
166,11:50:00,1,27
167,11:50:00,2,94
168,11:50:00,3,14
169,11:50:00,4,73
170,11:50:00,5,90
171,11:55:00,1,45
172,11:55:00,2,53
173,11:55:00,3,78
174,11:55:00,4,83
175,11:55:00,5,66
176,12:00:00,1,62
177,12:00:00,2,15
178,12:00:00,3,18
179,12:00:00,4,34
180,12:00:00,5,58
